"","file.path","folder.name","file.name","raw.length","trimmed.length","trim.start","trim.finish","raw.secondary.peaks","trimmed.secondary.peaks","raw.mean.quality","trimmed.mean.quality","raw.min.quality","trimmed.min.quality"
"48","sanger/024_js_X9_515F.ab1","sanger","024_js_X9_515F.ab1",259,222,20,241,9,0,43.2954545454545,48.9279279279279,1,12
"49","sanger/025_js_d16_515F.ab1","sanger","025_js_d16_515F.ab1",257,127,24,150,11,1,36.2442748091603,39.7874015748031,1,1
"50","sanger/025_js_d8_515F.ab1","sanger","025_js_d8_515F.ab1",257,223,16,238,8,0,43.6846153846154,48.8161434977578,1,9
"51","sanger/026_js_d15_515F.ab1","sanger","026_js_d15_515F.ab1",258,123,57,179,15,1,38.4865900383142,49.1544715447154,1,1
"52","sanger/026_js_d7_515F.ab1","sanger","026_js_d7_515F.ab1",258,161,18,178,7,0,43.448275862069,48.0993788819876,1,9
"53","sanger/027_js_d14_515F.ab1","sanger","027_js_d14_515F.ab1",265,176,58,233,55,35,27.9323308270677,32.8125,1,1
"54","sanger/027_js_d6_515F.ab1","sanger","027_js_d6_515F.ab1",269,170,52,221,20,0,38.8235294117647,50.1941176470588,1,15
"55","sanger/028_js_d13_515F.ab1","sanger","028_js_d13_515F.ab1",263,120,120,239,32,4,18.9,25.6416666666667,1,1
"56","sanger/028_js_d5_515F.ab1","sanger","028_js_d5_515F.ab1",259,223,18,240,8,0,44.27969348659,49.6412556053812,1,4
"57","sanger/029_js_d12_515F.ab1","sanger","029_js_d12_515F.ab1",262,223,21,243,14,2,40.0795454545455,45.5156950672646,1,1
"58","sanger/029_js_d4_515F.ab1","sanger","029_js_d4_515F.ab1",258,214,26,239,14,1,41.5285171102662,48.0093457943925,1,9
"59","sanger/030_js_d11_515F.ab1","sanger","030_js_d11_515F.ab1",262,225,20,244,14,2,41.0261194029851,47.0711111111111,1,1
"60","sanger/030_js_d3_515F.ab1","sanger","030_js_d3_515F.ab1",258,222,18,239,6,0,44.5977011494253,49.963963963964,1,10
"61","sanger/031_js_d10_515F.ab1","sanger","031_js_d10_515F.ab1",265,153,63,215,27,2,32.5555555555556,42.6013071895425,1,1
"62","sanger/031_js_d2_515F.ab1","sanger","031_js_d2_515F.ab1",258,217,25,241,7,0,43.1832061068702,49.7327188940092,1,12
"63","sanger/032_js_d1_515F.ab1","sanger","032_js_d1_515F.ab1",258,214,26,239,9,0,43.6145038167939,50.3130841121495,1,12
"64","sanger/032_js_d9_515F.ab1","sanger","032_js_d9_515F.ab1",259,217,17,233,6,0,44.2884615384615,49.7281105990783,1,10
"65","sanger/033_js_E16_515F.ab1","sanger","033_js_E16_515F.ab1",255,212,24,235,12,0,38.7186311787072,45.7594339622642,1,7
"66","sanger/033_js_E8_515F.ab1","sanger","033_js_E8_515F.ab1",245,201,25,225,6,0,39.3346613545817,44.2786069651741,1,7
"67","sanger/034_js_E15_515F.ab1","sanger","034_js_E15_515F.ab1",265,128,27,154,10,1,32.635687732342,39.53125,1,2
"68","sanger/034_js_E7_515F.ab1","sanger","034_js_E7_515F.ab1",257,213,27,239,6,0,43.5923076923077,50.3896713615023,1,15
"69","sanger/035_js_E14_515F.ab1","sanger","035_js_E14_515F.ab1",246,185,34,218,118,98,12.2608695652174,14,1,1
"70","sanger/035_js_E6_515F.ab1","sanger","035_js_E6_515F.ab1",257,223,17,239,7,0,44.3861003861004,49.5067264573991,1,8
"71","sanger/036_js_E13_515F.ab1","sanger","036_js_E13_515F.ab1",260,222,21,242,7,0,44.3129770992366,49.8243243243243,1,15
